

wavelength(m), Y
1.5e-06, 0.910548
1.50526e-06, 0.918821
1.51053e-06, 0.926668
1.51579e-06, 0.934085
1.52105e-06, 0.941074
1.52632e-06, 0.947633
1.53158e-06, 0.953762
1.53684e-06, 0.959464
1.54211e-06, 0.96474
1.54737e-06, 0.969592
1.55263e-06, 0.974023
1.55789e-06, 0.978036
1.56316e-06, 0.981635
1.56842e-06, 0.984825
1.57368e-06, 0.98761
1.57895e-06, 0.989995
1.58421e-06, 0.991987
1.58947e-06, 0.993589
1.59474e-06, 0.99481
1.6e-06, 0.995655



