

wavelength(m), Y
1.5e-06, 0.571208
1.50526e-06, 0.569153
1.51053e-06, 0.567088
1.51579e-06, 0.565015
1.52105e-06, 0.562936
1.52632e-06, 0.560853
1.53158e-06, 0.558766
1.53684e-06, 0.556677
1.54211e-06, 0.554588
1.54737e-06, 0.5525
1.55263e-06, 0.550413
1.55789e-06, 0.54833
1.56316e-06, 0.546252
1.56842e-06, 0.544179
1.57368e-06, 0.542112
1.57895e-06, 0.540054
1.58421e-06, 0.538004
1.58947e-06, 0.535964
1.59474e-06, 0.533935
1.6e-06, 0.531917



